,datetime,open,close,high,low,volume
0,2020-01-20,72.0,72.95,73.5,65.0,314258
1,2020-01-21,70.0,68.27,73.9,66.75,173997
2,2020-01-22,66.51,66.4,67.19,62.33,125761
3,2020-01-23,64.5,63.2,68.47,62.58,94568
4,2020-02-03,52.77,46.06,54.04,45.98,103336
5,2020-02-04,48.26,55.27,55.27,48.2,103297
6,2020-02-05,61.02,61.47,65.45,60.0,135427
7,2020-02-06,63.0,73.76,73.76,62.1,156852
8,2020-02-07,82.5,88.51,88.51,81.15,163763
9,2020-02-10,99.0,96.55,102.5,89.11,155108
10,2020-02-11,101.0,94.78,102.9,91.02,107731
11,2020-02-12,91.11,113.74,113.74,91.11,125714
12,2020-02-13,118.0,114.16,126.0,106.68,124378
13,2020-02-14,113.0,114.99,123.45,107.8,111493
14,2020-02-17,116.23,113.15,117.5,109.11,76515
15,2020-02-18,110.68,115.0,117.68,106.9,88279
16,2020-02-19,112.6,103.9,114.5,103.5,91664
17,2020-02-20,104.64,97.2,104.98,95.01,94303
18,2020-02-21,94.0,95.29,103.6,94.0,87844
19,2020-02-24,91.05,91.9,93.05,86.88,86640
20,2020-02-25,90.32,99.9,100.92,90.3,90002
21,2020-02-26,96.5,88.88,97.78,86.06,77598
22,2020-02-27,87.97,88.5,91.91,81.18,69296
23,2020-02-28,83.65,77.0,87.49,75.61,76419
24,2020-03-02,79.5,79.61,81.41,74.74,68241
25,2020-03-03,81.8,95.53,95.53,80.55,136493
26,2020-03-04,90.99,86.3,92.86,81.0,108656
27,2020-03-05,90.0,83.5,90.85,82.38,71849
28,2020-03-06,80.5,81.08,82.99,79.01,51093
29,2020-03-09,77.0,78.53,85.97,77.0,66959
30,2020-03-10,78.3,84.51,85.15,78.3,73454
31,2020-03-11,84.0,78.3,84.0,77.82,63989
32,2020-03-12,76.01,77.78,79.4,75.0,36308
33,2020-03-13,73.0,79.8,82.25,73.0,58023
34,2020-03-16,79.91,75.2,85.1,74.01,54890
35,2020-03-17,77.99,78.35,79.0,74.12,48240
36,2020-03-18,79.95,80.27,84.68,79.0,68607
37,2020-03-19,80.78,83.6,84.07,80.3,55878
38,2020-03-20,84.0,79.53,84.5,78.38,52485
39,2020-03-23,75.01,69.14,76.36,67.02,61179
40,2020-03-24,71.57,70.2,71.83,63.62,49494
41,2020-03-25,72.37,69.58,72.9,68.0,42641
42,2020-03-26,67.98,66.93,69.58,65.66,32742
43,2020-03-27,68.12,63.95,68.24,63.89,30157
44,2020-03-30,61.1,59.79,61.79,56.69,36868
45,2020-03-31,60.99,58.15,62.49,56.9,32368
46,2020-04-01,57.75,59.77,61.51,57.5,35263
47,2020-04-02,59.3,64.43,65.0,59.2,43961
48,2020-04-03,63.3,60.99,64.18,60.5,33500
49,2020-04-07,62.83,62.6,63.85,62.2,29887
50,2020-04-08,62.0,62.47,64.28,61.6,22496
51,2020-04-09,63.0,63.14,63.5,61.52,22612
52,2020-04-10,63.13,63.55,65.55,59.24,47502
53,2020-04-13,62.5,60.86,62.98,60.5,17257
54,2020-04-14,61.2,63.07,64.69,61.0,24430
55,2020-04-15,63.48,63.16,65.22,62.69,27932
56,2020-04-16,62.32,63.22,64.15,61.68,19544
57,2020-04-17,63.55,65.51,67.58,63.55,38378
58,2020-04-20,65.6,66.33,67.08,64.13,24653
59,2020-04-21,66.13,69.5,69.92,64.92,41664
60,2020-04-22,68.0,69.49,70.1,67.5,28655
61,2020-04-23,69.6,69.1,70.95,68.51,22987
62,2020-04-24,68.48,67.9,69.19,65.91,24149
63,2020-04-27,67.66,66.0,68.48,65.9,14958
64,2020-04-28,63.13,61.04,63.6,53.54,50203
65,2020-04-29,59.01,55.81,60.56,55.52,26035
66,2020-04-30,57.01,60.1,61.2,56.5,30222
67,2020-05-06,58.18,72.12,72.12,58.12,61968
68,2020-05-07,74.72,71.13,74.72,69.77,49782
69,2020-05-08,71.5,72.93,79.48,71.14,61551
70,2020-05-11,74.77,72.91,76.9,71.8,37447
